symbol,token,price
AARTIIND-EQ,7,906.3
ABBOTINDIA-EQ,17903,17895.5
ABCAPITAL-EQ,21614,119.05
ABFRL-EQ,30108,338.1
ACC-EQ,22,2723.7
ADANIENT-EQ,25,3759.85
ADANIPORTS-EQ,15083,966.95
ALKEM-EQ,11703,3190.55
AMARAJABAT-EQ,100,536.75
AMBUJACEM-EQ,1270,533.7
APLLTD-EQ,25328,625.95
APOLLOHOSP-EQ,157,4322.55
APOLLOTYRE-EQ,163,299.85
ASHOKLEY-EQ,212,164.95
ASIANPAINT-EQ,236,3402.15
ASTRAL-EQ,14418,2500.0
ATUL-EQ,263,9535.25
AUBANK-EQ,21238,678.35
AUROPHARMA-EQ,275,547.85
AXISBANK-EQ,5900,783.5
BAJAJ-AUTO-EQ,16669,3791.75
BAJAJFINSV-EQ,16675,1769.0
BAJFINANCE-EQ,317,7413.0
BALKRISIND-EQ,335,2020.3
BALRAMCHIN-EQ,341,374.05
BANDHANBNK-EQ,2263,300.5
BANKBARODA-EQ,4668,139.45
BATAINDIA-EQ,371,1891.95
BEL-EQ,383,111.5
BERGEPAINT-EQ,404,658.2
BHARATFORG-EQ,422,780.15
BHARTIARTL-EQ,10604,782.75
BHEL-EQ,438,61.45
BIOCON-EQ,11373,299.8
BOSCHLTD-EQ,2181,17241.4
BPCL-EQ,526,329.0
BRITANNIA-EQ,547,3712.9
BSOFT-EQ,6994,317.0
ZYDUSLIFE-EQ,7929,371.3
CANBK-EQ,10794,251.7
CANFINHOME-EQ,583,662.9
CHAMBLFERT-EQ,637,352.4
CHOLAFIN-EQ,685,789.1
CIPLA-EQ,694,1038.2
COALINDIA-EQ,20374,233.05
COFORGE-EQ,11543,3395.75
COLPAL-EQ,15141,1618.45
CONCOR-EQ,4749,757.05
COROMANDEL-EQ,739,1010.4
CROMPTON-EQ,17094,402.6
CUB-EQ,5701,182.6
CUMMINSIND-EQ,1901,1249.35
DABUR-EQ,772,559.4
DALBHARAT-EQ,8075,1750.7
DEEPAKNTR-EQ,19943,2234.05
DELTACORP-EQ,15044,224.85
DIVISLAB-EQ,10940,3587.6
DIXON-EQ,21690,4569.95
DLF-EQ,14732,407.15
DRREDDY-EQ,881,4158.8
EICHERMOT-EQ,910,3596.45
ESCORTS-EQ,958,1993.1
EXIDEIND-EQ,676,172.8
FEDERALBNK-EQ,1023,121.75
FSL-EQ,14304,112.5
GAIL-EQ,4717,91.05
GLENMARK-EQ,7406,390.6
GMRINFRA-EQ,13528,39.95
GNFC-EQ,1174,771.15
GODREJCP-EQ,10099,913.3
GODREJPROP-EQ,17875,1385.1
GRANULES-EQ,11872,321.85
GRASIM-EQ,1232,1791.0
GSPL-EQ,13197,252.0
GUJGASLTD-EQ,10599,527.4
HAL-EQ,2303,2530.0
HAVELLS-EQ,9819,1351.65
HCLTECH-EQ,7229,911.0
HDFC-EQ,1330,2429.4
HDFCAMC-EQ,4244,1999.95
HDFCBANK-EQ,1333,1507.0
HDFCLIFE-EQ,467,561.15
HEROMOTOCO-EQ,1348,2782.3
HINDALCO-EQ,1363,416.8
HINDCOPPER-EQ,17939,121.55
HINDPETRO-EQ,1406,236.5
HINDUNILVR-EQ,1394,2543.0
HONAUT-EQ,3417,41725.6
IBULHSGFIN-EQ,30125,135.5
ICICIBANK-EQ,4963,914.35
ICICIGI-EQ,21770,1228.65
ICICIPRULI-EQ,18652,567.45
IDEA-EQ,14366,9.6
IDFC-EQ,11957,69.5
IDFCFIRSTB-EQ,11184,52.3
IEX-EQ,220,162.35
IGL-EQ,11262,432.6
INDHOTEL-EQ,1512,330.75
INDIACEM-EQ,1515,268.35
INDIAMART-EQ,10726,4693.65
INDIGO-EQ,11195,1902.0
INDUSINDBK-EQ,5258,1194.05
INDUSTOWER-EQ,29135,203.5
INFY-EQ,1594,1407.25
IOC-EQ,1624,71.35
IPCALAB-EQ,1633,875.85
IRCTC-EQ,13611,719.25
ITC-EQ,1660,334.1
JINDALSTEL-EQ,6733,443.9
JKCEMENT-EQ,13270,2880.05
JSWSTEEL-EQ,11723,684.9
JUBLFOOD-EQ,18096,627.35
KOTAKBANK-EQ,1922,1925.3
L&TFH-EQ,24948,84.7
LALPATHLAB-EQ,11654,2337.8
LAURUSLABS-EQ,19234,531.0
LICHSGFIN-EQ,1997,437.55
LT-EQ,11483,1948.55
LTI-EQ,17818,4524.0
LTTS-EQ,18564,3588.6
LUPIN-EQ,10440,659.65
M&M-EQ,2031,1267.8
M&MFIN-EQ,13285,228.4
MANAPPURAM-EQ,19061,101.6
MARICO-EQ,4067,514.05
MARUTI-EQ,10999,9105.55
MCDOWELL-N-EQ,10447,852.9
MCX-EQ,31181,1281.05
METROPOLIS-EQ,9581,1398.45
MFSL-EQ,2142,806.1
MGL-EQ,17534,894.4
MINDTREE-EQ,14356,3210.1
MPHASIS-EQ,4503,2072.9
MRF-EQ,2277,91466.65
MUTHOOTFIN-EQ,23650,1046.8
NAM-INDIA-EQ,357,292.5
NATIONALUM-EQ,6364,78.2
NAUKRI-EQ,13751,4152.9
NAVINFLUOR-EQ,14672,4775.85
NBCC-EQ,31415,34.8
NESTLEIND-EQ,17963,18881.15
NMDC-EQ,15332,126.05
NTPC-EQ,11630,173.45
OBEROIRLTY-EQ,20242,1065.15
OFSS-EQ,10738,3092.45
ONGC-EQ,2475,130.75
PAGEIND-EQ,14413,49015.1
PEL-EQ,2412,992.6
PERSISTENT-EQ,18365,3221.95
PETRONET-EQ,11351,215.2
PFC-EQ,14299,117.8
PFIZER-EQ,2643,4272.4
PIDILITIND-EQ,2664,2877.0
PIIND-EQ,24184,3269.75
PNB-EQ,10666,40.25
POLYCAB-EQ,9590,2637.0
POWERGRID-EQ,14977,236.6
PVR-EQ,13147,1808.0
RAIN-EQ,15337,180.55
RAMCOCEM-EQ,2043,780.55
RBLBANK-EQ,18391,129.5
RECLTD-EQ,15355,106.7
RELIANCE-EQ,2885,2539.2
SAIL-EQ,2963,81.6
SBICARD-EQ,17971,949.55
SBILIFE-EQ,21808,1275.55
SBIN-EQ,3045,570.0
SHREECEM-EQ,3103,23595.4
SIEMENS-EQ,3150,3036.05
SRF-EQ,3273,2794.15
SRTRANSFIN-EQ,4306,1326.8
STAR-EQ,7374,328.0
SUNPHARMA-EQ,3351,878.0
SUNTV-EQ,13404,516.45
SYNGENE-EQ,10243,566.25
TATACHEM-EQ,3405,1158.8
TATACOMM-EQ,3721,1232.55
TATACONSUM-EQ,3432,822.55
TATAMOTORS-EQ,3456,442.9
TATAPOWER-EQ,3426,245.8
TATASTEEL-EQ,3499,106.55
TCS-EQ,11536,3060.2
TECHM-EQ,13538,1058.5
TITAN-EQ,3506,2643.1
TORNTPHARM-EQ,3518,1494.75
TORNTPOWER-EQ,13786,554.0
TRENT-EQ,1964,1434.45
TVSMOTOR-EQ,8479,1033.85
UBL-EQ,16713,1673.0
ULTRACEMCO-EQ,11532,6724.1
UPL-EQ,11287,747.7
VEDL-EQ,3063,288.2
VOLTAS-EQ,3718,946.95
WHIRLPOOL-EQ,18011,1730.35
WIPRO-EQ,3787,408.15
ZEEL-EQ,3812,271.5
ABB-EQ,13,3292.5
INTELLECT-EQ,5926,577.65
